Game 281: Q-table size = 26514, Epsilon = 0.0730
Game 282: Q-table size = 26514, Epsilon = 0.0726
Game 283: Q-table size = 26514, Epsilon = 0.0723
Game 284: Q-table size = 26514, Epsilon = 0.0719
Game 285: Q-table size = 26514, Epsilon = 0.0715
Game 286: Q-table size = 26522, Epsilon = 0.0712
Game 287: Q-table size = 26522, Epsilon = 0.0708
Game 288: Q-table size = 26522, Epsilon = 0.0705
Game 289: Q-table size = 26522, Epsilon = 0.0701
Game 290: Q-table size = 26533, Epsilon = 0.0698
Game 291: Q-table size = 26533, Epsilon = 0.0694
Game 292: Q-table size = 26533, Epsilon = 0.0691
Game 293: Q-table size = 26533, Epsilon = 0.0687
Game 294: Q-table size = 26533, Epsilon = 0.0684
Game 295: Q-table size = 26548, Epsilon = 0.0680
Game 296: Q-table size = 26548, Epsilon = 0.0677
Game 297: Q-table size = 26556, Epsilon = 0.0674
Game 298: Q-table size = 26564, Epsilon = 0.0670
Game 299: Q-table size = 26567, Epsilon = 0.0667
Game 300: Q-table size = 26568, Epsilon = 0.0664
Game 301: Q-table size = 26578, Epsilon = 0.0660
Game 302: Q-table size = 26578, Epsilon = 0.0657
Game 303: Q-table size = 26578, Epsilon = 0.0654
Game 304: Q-table size = 26578, Epsilon = 0.0650
Game 305: Q-table size = 26578, Epsilon = 0.0647
Game 306: Q-table size = 26578, Epsilon = 0.0644
Game 307: Q-table size = 26585, Epsilon = 0.0641
Game 308: Q-table size = 26585, Epsilon = 0.0637
Game 309: Q-table size = 26585, Epsilon = 0.0634
Game 310: Q-table size = 26585, Epsilon = 0.0631
Game 311: Q-table size = 26585, Epsilon = 0.0628
Game 312: Q-table size = 26585, Epsilon = 0.0625
Game 313: Q-table size = 26590, Epsilon = 0.0622
Game 314: Q-table size = 26599, Epsilon = 0.0619
Game 315: Q-table size = 26599, Epsilon = 0.0615
Game 316: Q-table size = 26599, Epsilon = 0.0612
Game 317: Q-table size = 26599, Epsilon = 0.0609
Game 318: Q-table size = 26599, Epsilon = 0.0606
Game 319: Q-table size = 26599, Epsilon = 0.0603
Game 320: Q-table size = 26599, Epsilon = 0.0600
Game 321: Q-table size = 26599, Epsilon = 0.0597
Game 322: Q-table size = 26599, Epsilon = 0.0594
Game 323: Q-table size = 26599, Epsilon = 0.0591
Game 324: Q-table size = 26599, Epsilon = 0.0588
Game 325: Q-table size = 26599, Epsilon = 0.0585
Game 326: Q-table size = 26599, Epsilon = 0.0582
Game 327: Q-table size = 26599, Epsilon = 0.0580
